likes	coms	favs	size
86	169	7	2815
103	117	5	3035
9	26	2	467
65	28	4	3610
28	25	0	589
68	269	5	2416
85	45	1	1878
71	148	9	2713
75	87	1	1238
41	50	1	2451
237	213	1	10477
169	226	1	7001
30	28	0	2655
58	48	0	3125
16	9	0	2328
23	71	0	1549
61	51	1	2448
34	20	4	4307
31	38	1	2390
56	93	1	2503
20	33	0	3882
81	148	12	5908
61	107	6	3020
49	29	1	1504
34	67	1	2285
96	149	16	2933
78	55	1	2915
41	25	0	1715
54	8	0	1934
208	79	6	2271
83	102	1	3038
16	18	0	3132
29	14	0	2712
46	21	1	2302
51	48	0	3371
68	75	4	9746
62	120	0	2294
416	306	48	13193
117	49	1	2005
58	24	0	1666
109	191	0	1654
106	61	1	7748
105	84	3	1201
49	137	1	1551
78	69	1	2804
173	48	1	1559
120	68	8	1131
72	62	4	2441
152	75	26	8249
191	100	27	4742
63	16	0	1909
86	79	1	1132
31	21	2	509
39	26	1	2283
32	6	1	1085
123	114	7	6340
100	71	2	1467
105	34	17	3453
32	40	3	1553
33	32	1	1761
42	38	0	1666
54	29	0	3094
32	73	0	2134
218	121	13	1039
86	59	1	8416
78	111	1	3051
18	15	0	1602
18	17	3	982
109	185	1	3012
80	17	22	1281
58	111	0	1414
63	55	0	1223
60	20	14	1148
175	85	26	2803
129	46	4	2136
48	42	0	1369
30	30	1	1342
55	59	1	2469
100	90	1	3588
123	71	1	3024
57	72	0	2659
174	65	38	1699
198	298	31	8062
540	309	40	10380
54	0	1	2206
74	95	5	4885
61	87	12	5164
34	21	1	1364
29	90	1	2493
125	36	27	2320
63	31	1	2954
155	125	1	3361
36	41	0	3533
260	138	16	12815
52	86	1	4668
105	227	8	1933
41	56	1	2687
72	108	1	3365
62	10	1	2764
24	34	0	1750
41	14	0	2081
36	22	1	2015
252	618	143	7056
51	29	1	1951
29	3	1	2151
200	59	149	5958
78	133	2	2771
219	346	29	12551
86	42	4	1333
48	26	1	1492
29	11	0	3174
32	20	0	1658
59	70	1	1530
24	8	2	784
129	81	28	14976
145	92	17	4646
183	30	53	11241
48	80	6	7041
54	16	1	1261
34	42	2	2312
124	221	1	2502
60	28	1	538
26	2	1	1545
121	227	13	4573
109	111	1	2292
165	47	177	37601
80	48	24	40156
39	50	1	2756
181	142	198	26641
32	39	2	4399
143	40	18	2976
93	52	5	2732
82	63	1	1576
76	76	1	1193
27	22	3	1121
28	72	0	2857
60	64	0	1214
46	31	1	2664
35	25	1	1695
51	133	1	787
176	58	11	7172
23	15	0	337
20	35	2	655
88	205	10	891
46	57	3	3553
34	45	0	1778
29	50	0	1219
24	17	1	429
53	120	3	2113
133	55	37	4181
170	62	21	1715
10	103	1	3315
28	23	1	1715
23	54	1	3256
173	263	20	5310
33	18	1	838
40	34	0	2001
91	71	5	3556
124	65	1	1312
70	86	11	4605
24	26	1	1777
38	46	1	268
13	39	1	462
23	13	1	4356
65	103	1	1252
65	90	1	651
138	259	94	14771
128	141	8	5108
32	22	1	1542
45	49	6	2959
89	44	1	4140
32	61	3	3010
26	25	1	531
29	11	1	388
23	17	1	772
93	49	1	2560
136	136	14	4068
14	8	1	517
43	23	6	462
39	18	4	2321
66	20	1	1838
23	4	1	1084
45	22	1	1175
20	26	0	3580
30	37	0	1366
90	42	4	1269
41	58	1	2782
35	40	1	883
84	78	43	3443
56	40	1	7796
12	5	0	1232
31	4	0	852
14	138	1	1699
14	15	1	1129
26	45	1	1599
23	36	1	1248
38	123	1	1939
27	12	0	1726
67	56	1	2002
31	25	1	3803
18	13	1	1412
16	3	0	1883
48	112	0	1845
73	88	10	9682
85	32	1	1748
37	36	1	1782
21	37	0	1052
77	125	1	1058
182	120	1	2487
33	6	0	1737
62	117	6	2160
17	12	0	631
51	53	1	1471
31	19	1	488
32	34	2	777
23	11	1	1442
70	106	1	1359
24	9	1	2118
15	12	0	661
87	170	22	6952
26	43	1	1051
9	4	1	580
59	70	1	4610
49	26	1	2126
68	54	1	4613
40	18	0	534
48	37	0	1527
25	13	0	1149
94	1144	24	792
70	236	1	2838
19	103	1	2926
23	13	1	294
191	228	66	710
136	99	7	2555
45	85	1	1894
36	36	0	2437
26	56	1	2466
31	41	0	1608
34	51	1	1006
44	62	0	1540
61	100	1	5242
82	152	6	1177
46	96	1	3301
60	189	1	1974
92	81	1	14676
39	35	1	2977
84	92	6	8554
38	64	2	2067
51	54	0	2312
49	15	1	3450
225	209	30	9543
46	48	1	1608
37	65	1	2079
89	110	6	2136
45	95	3	14510
25	29	1	1758
28	22	1	2113
55	42	0	2204
29	16	1	1117
54	103	1	1192
67	32	1	2448
181	131	27	10511
90	59	1	1902
9	13	0	1821
46	62	1	866
28	45	1	2291
17	6	1	1662
68	74	17	6923
14	33	1	2838
66	37	1	8676
31	36	1	2039
25	39	1	1600
25	29	1	3526
32	17	1	3322
84	78	1	1781
11	4	0	1649
165	251	24	5655
41	37	1	1346
56	93	6	2789
0	32	0	1627
33	55	0	6180
69	30	8	2864
17	42	0	551
38	84	1	7037
40	80	6	966
154	394	16	5080
70	116	6	2466
20	13	0	1183
58	211	1	4054
112	162	31	9529
50	53	1	6584
90	74	1	3316
68	118	1	1221
62	21	1	1406
17	15	1	1321
20	6	0	931
13	7	0	2340
20	18	1	866
41	85	0	2207
72	104	0	1686
60	83	1	1685
46	47	1	1061
54	102	1	4277
33	42	2	1933
37	61	2	1103
39	55	1	1634
47	34	3	2825
31	35	1	1077
14	16	0	1276
